layer_id,run_id,debias_method,model,method,train_accuracy,train_roc_auc,train_f1,train_recall,train_precision,test_accuracy,test_roc_auc,test_f1,test_recall,test_precision
15,0,lr,LogisticRegression,real,0.8501529051987767,0.928025590901013,0.8492307692307692,0.8544891640866873,0.8440366972477065,0.83984375,0.9132080078125,0.8379446640316206,0.828125,0.848
15,0,lr,XGBoost,real,0.7262996941896025,0.812922656739592,0.7275494672754946,0.739938080495356,0.7155688622754491,0.73828125,0.81878662109375,0.7330677290836654,0.71875,0.7479674796747967
15,0,dm,LogisticRegression,real,0.4938837920489297,0.5090260305107891,0.661207778915046,1.0,0.4938837920489297,0.5,0.47735595703125,0.6666666666666666,1.0,0.5
15,0,dm,XGBoost,real,0.5902140672782875,0.6246854919420464,0.5988023952095808,0.6191950464396285,0.5797101449275363,0.578125,0.6455078125,0.578125,0.578125,0.578125
15,0,lr,LogisticRegression,random_shuffle,0.481651376146789,0.48160653989692553,0.49327354260089684,0.5108359133126935,0.476878612716763,0.484375,0.5155029296875,0.4961832061068702,0.5078125,0.48507462686567165
15,0,lr,LogisticRegression,random_unit_vector,0.5428134556574924,0.5557415842788062,0.5530642750373692,0.5727554179566563,0.5346820809248555,0.52734375,0.52490234375,0.5254901960784314,0.5234375,0.5275590551181102
15,0,dm,LogisticRegression,random_shuffle,0.5015290519877675,0.5164105394105488,0.5177514792899408,0.541795665634675,0.49575070821529743,0.5078125,0.52587890625,0.5298507462686567,0.5546875,0.5071428571428571
15,0,dm,LogisticRegression,random_unit_vector,0.4648318042813456,0.48098921553038454,0.46319018404907975,0.4674922600619195,0.45896656534954405,0.47265625,0.46307373046875,0.47058823529411764,0.46875,0.47244094488188976
15,1,lr,LogisticRegression,real,0.8125,0.8929076036438,0.8116385911179173,0.803030303030303,0.8204334365325078,0.80078125,0.88336181640625,0.7883817427385892,0.7421875,0.8407079646017699
15,1,lr,XGBoost,real,0.739329268292683,0.8218813905930469,0.7389312977099237,0.7333333333333333,0.7446153846153846,0.69921875,0.80889892578125,0.6857142857142857,0.65625,0.717948717948718
15,1,dm,LogisticRegression,real,0.5030487804878049,0.504419966536531,0.6693711967545639,1.0,0.5030487804878049,0.5,0.467529296875,0.6666666666666666,1.0,0.5
15,1,dm,XGBoost,real,0.5884146341463414,0.6423777653839002,0.5896656534954408,0.5878787878787879,0.5914634146341463,0.5390625,0.58990478515625,0.512396694214876,0.484375,0.543859649122807
15,1,lr,LogisticRegression,random_shuffle,0.47560975609756095,0.46938092582264357,0.4819277108433735,0.48484848484848486,0.47904191616766467,0.49609375,0.51971435546875,0.5095057034220533,0.5234375,0.4962962962962963
15,1,lr,LogisticRegression,random_unit_vector,0.4603658536585366,0.4563115820784533,0.4503105590062112,0.4393939393939394,0.46178343949044587,0.5234375,0.514404296875,0.5378787878787878,0.5546875,0.5220588235294118
15,1,dm,LogisticRegression,random_shuffle,0.45121951219512196,0.4631622978248745,0.44272445820433437,0.43333333333333335,0.4525316455696203,0.5234375,0.53411865234375,0.5080645161290323,0.4921875,0.525
15,1,dm,LogisticRegression,random_unit_vector,0.5198170731707317,0.5277189068600112,0.5234493192133132,0.5242424242424243,0.5226586102719033,0.5390625,0.53271484375,0.553030303030303,0.5703125,0.5367647058823529
15,2,lr,LogisticRegression,real,0.8401898734177216,0.9277032248998806,0.835236541598695,0.8504983388704319,0.8205128205128205,0.84765625,0.89544677734375,0.8433734939759037,0.8203125,0.8677685950413223
15,2,lr,XGBoost,real,0.7642405063291139,0.8417761540082905,0.7592891760904685,0.7807308970099668,0.7389937106918238,0.78125,0.859375,0.7777777777777778,0.765625,0.7903225806451613
15,2,dm,LogisticRegression,real,0.4762658227848101,0.4231815398821651,0.6452304394426581,1.0,0.4762658227848101,0.5,0.5128173828125,0.6666666666666666,1.0,0.5
15,2,dm,XGBoost,real,0.5996835443037974,0.6302556433238651,0.6040688575899843,0.6411960132890365,0.5710059171597633,0.6484375,0.70379638671875,0.64,0.625,0.6557377049180327
15,2,lr,LogisticRegression,random_shuffle,0.4430379746835443,0.42222802139896215,0.4584615384615385,0.4950166112956811,0.4269340974212034,0.46875,0.447265625,0.46875,0.46875,0.46875
15,2,lr,LogisticRegression,random_unit_vector,0.4651898734177215,0.4486354648653531,0.45483870967741935,0.4684385382059801,0.44200626959247646,0.4609375,0.43475341796875,0.46511627906976744,0.46875,0.46153846153846156
15,2,dm,LogisticRegression,random_shuffle,0.4936708860759494,0.49991468518834503,0.49843260188087773,0.5282392026578073,0.47181008902077154,0.49609375,0.4510498046875,0.4901185770750988,0.484375,0.496
15,2,dm,LogisticRegression,random_unit_vector,0.5110759493670886,0.5440676094789774,0.48414023372287146,0.48172757475083056,0.4865771812080537,0.52734375,0.52362060546875,0.5061224489795918,0.484375,0.5299145299145299
15,3,lr,LogisticRegression,real,0.8613251155624037,0.9188216475606504,0.8575949367088608,0.8798701298701299,0.8364197530864198,0.81640625,0.90728759765625,0.8127490039840638,0.796875,0.8292682926829268
15,3,lr,XGBoost,real,0.7565485362095532,0.8350439882697946,0.7561728395061729,0.7954545454545454,0.7205882352941176,0.73046875,0.8052978515625,0.7206477732793523,0.6953125,0.7478991596638656
15,3,dm,LogisticRegression,real,0.5238828967642527,0.5347573980271927,0.012779552715654952,0.006493506493506494,0.4,0.5,0.5008544921875,0.0,0.0,0.0
15,3,dm,XGBoost,real,0.6286594761171033,0.6783238755379518,0.6216640502354788,0.6428571428571429,0.601823708206687,0.60546875,0.6480712890625,0.6159695817490495,0.6328125,0.6
15,3,lr,LogisticRegression,random_shuffle,0.46687211093990755,0.467294435769509,0.44551282051282054,0.4512987012987013,0.439873417721519,0.5078125,0.51654052734375,0.5116279069767442,0.515625,0.5076923076923077
15,3,lr,LogisticRegression,random_unit_vector,0.43297380585516176,0.41528925619834717,0.40836012861736337,0.41233766233766234,0.40445859872611467,0.46875,0.471435546875,0.4603174603174603,0.453125,0.46774193548387094
15,3,dm,LogisticRegression,random_shuffle,0.5346687211093991,0.5253361008492973,0.5032894736842105,0.4967532467532468,0.51,0.484375,0.50189208984375,0.4961832061068702,0.5078125,0.48507462686567165
15,3,dm,LogisticRegression,random_unit_vector,0.4930662557781202,0.49915260692386787,0.48673946957878317,0.5064935064935064,0.46846846846846846,0.52734375,0.52459716796875,0.5217391304347826,0.515625,0.528
15,4,lr,LogisticRegression,real,0.834597875569044,0.9184181415929203,0.8244766505636071,0.8,0.8504983388704319,0.828125,0.9088134765625,0.819672131147541,0.78125,0.8620689655172413
15,4,lr,XGBoost,real,0.7708649468892261,0.848193215339233,0.7701674277016742,0.790625,0.7507418397626113,0.76171875,0.84027099609375,0.7550200803212851,0.734375,0.7768595041322314
