layer_id,model,run_id,train_accuracy,train_roc_auc,train_f1,train_recall,train_precision,test_accuracy,test_roc_auc,test_f1,test_recall,test_precision
14,LogisticRegression,0,1.0,1.0,1.0,1.0,1.0,0.87109375,0.93829345703125,0.8735632183908046,0.890625,0.8571428571428571
14,XGBoost,0,1.0,1.0,1.0,1.0,1.0,0.734375,0.82098388671875,0.734375,0.734375,0.734375
14,LogisticRegression,1,0.9994419642857143,1.0,0.9994422755158952,1.0,0.9988851727982163,0.8671875,0.93408203125,0.8731343283582089,0.9140625,0.8357142857142857
14,XGBoost,1,1.0,1.0,1.0,1.0,1.0,0.76171875,0.810546875,0.758893280632411,0.75,0.768
14,LogisticRegression,2,1.0,0.9999999999999999,1.0,1.0,1.0,0.875,0.93145751953125,0.8778625954198473,0.8984375,0.8582089552238806
14,XGBoost,2,1.0,1.0,1.0,1.0,1.0,0.74609375,0.838623046875,0.7547169811320755,0.78125,0.7299270072992701
14,LogisticRegression,3,1.0,1.0,1.0,1.0,1.0,0.890625,0.94921875,0.8923076923076924,0.90625,0.8787878787878788
14,XGBoost,3,1.0,1.0,1.0,1.0,1.0,0.75390625,0.82647705078125,0.7567567567567568,0.765625,0.7480916030534351
14,LogisticRegression,4,1.0,1.0,1.0,1.0,1.0,0.859375,0.93023681640625,0.8625954198473282,0.8828125,0.8432835820895522
14,XGBoost,4,1.0,1.0,1.0,1.0,1.0,0.7578125,0.83941650390625,0.7651515151515151,0.7890625,0.7426470588235294
14,LogisticRegression,5,1.0,1.0,1.0,1.0,1.0,0.875,0.93768310546875,0.8796992481203008,0.9140625,0.8478260869565217
14,XGBoost,5,1.0,1.0,1.0,1.0,1.0,0.71875,0.80694580078125,0.7352941176470589,0.78125,0.6944444444444444
14,LogisticRegression,6,1.0,1.0,1.0,1.0,1.0,0.87109375,0.92437744140625,0.8764044943820225,0.9140625,0.841726618705036
14,XGBoost,6,1.0,1.0,1.0,1.0,1.0,0.7109375,0.78472900390625,0.7357142857142858,0.8046875,0.6776315789473685
14,LogisticRegression,7,1.0,1.0,1.0,1.0,1.0,0.86328125,0.93267822265625,0.8659003831417624,0.8828125,0.849624060150376
14,XGBoost,7,1.0,1.0,1.0,1.0,1.0,0.7421875,0.81121826171875,0.7480916030534351,0.765625,0.7313432835820896
14,LogisticRegression,8,1.0,1.0,1.0,1.0,1.0,0.83203125,0.91546630859375,0.8377358490566038,0.8671875,0.8102189781021898
14,XGBoost,8,1.0,1.0,1.0,1.0,1.0,0.77734375,0.85284423828125,0.7956989247311828,0.8671875,0.7350993377483444
14,LogisticRegression,9,1.0,1.0,1.0,1.0,1.0,0.875,0.9498291015625,0.8787878787878788,0.90625,0.8529411764705882
14,XGBoost,9,1.0,1.0,1.0,1.0,1.0,0.74609375,0.8267822265625,0.758364312267658,0.796875,0.723404255319149
