layer_id,model,run_id,train_accuracy,train_roc_auc,train_f1,train_recall,train_precision,test_accuracy,test_roc_auc,test_f1,test_recall,test_precision
8,LogisticRegression,0,0.9988839285714286,0.9999962631536989,0.9988826815642458,0.9977678571428571,1.0,0.87109375,0.93414306640625,0.8773234200743495,0.921875,0.8368794326241135
8,XGBoost,0,1.0,1.0,1.0,1.0,1.0,0.7734375,0.85455322265625,0.7835820895522388,0.8203125,0.75
8,LogisticRegression,1,0.9983258928571429,0.9999937719228317,0.9983268265476855,0.9988839285714286,0.9977703455964325,0.8515625,0.92626953125,0.8613138686131386,0.921875,0.8082191780821918
8,XGBoost,1,1.0,1.0,1.0,1.0,1.0,0.78125,0.88104248046875,0.7846153846153846,0.796875,0.7727272727272727
8,LogisticRegression,2,0.9988839285714286,1.0,0.9988826815642458,0.9977678571428571,1.0,0.83984375,0.9271240234375,0.844106463878327,0.8671875,0.8222222222222222
8,XGBoost,2,1.0,1.0,1.0,1.0,1.0,0.7890625,0.868896484375,0.8,0.84375,0.7605633802816901
8,LogisticRegression,3,0.9983258928571429,0.999992526307398,0.9983268265476855,0.9988839285714286,0.9977703455964325,0.859375,0.92529296875,0.8656716417910447,0.90625,0.8285714285714286
8,XGBoost,3,1.0,1.0,1.0,1.0,1.0,0.75390625,0.84967041015625,0.7640449438202247,0.796875,0.7338129496402878
8,LogisticRegression,4,0.9983258928571429,0.9999950175382654,0.998324958123953,0.9977678571428571,0.9988826815642458,0.85546875,0.9283447265625,0.8614232209737828,0.8984375,0.8273381294964028
8,XGBoost,4,1.0,1.0,1.0,1.0,1.0,0.75,0.83160400390625,0.7647058823529411,0.8125,0.7222222222222222
8,LogisticRegression,5,1.0,1.0,1.0,1.0,1.0,0.84375,0.92608642578125,0.8507462686567164,0.890625,0.8142857142857143
8,XGBoost,5,1.0,1.0,1.0,1.0,1.0,0.7734375,0.85186767578125,0.7786259541984732,0.796875,0.7611940298507462
8,LogisticRegression,6,0.9988839285714286,0.9999987543845663,0.9988839285714286,0.9988839285714286,0.9988839285714286,0.8515625,0.93853759765625,0.8592592592592593,0.90625,0.8169014084507042
8,XGBoost,6,1.0,1.0,1.0,1.0,1.0,0.76171875,0.87103271484375,0.7749077490774908,0.8203125,0.7342657342657343
8,LogisticRegression,7,0.9977678571428571,0.9999875438456632,0.9977703455964325,0.9988839285714286,0.9966592427616926,0.8359375,0.92816162109375,0.8444444444444444,0.890625,0.8028169014084507
8,XGBoost,7,1.0,1.0,1.0,1.0,1.0,0.734375,0.8453369140625,0.7481481481481481,0.7890625,0.7112676056338029
8,LogisticRegression,8,0.9988839285714286,0.9999713508450256,0.9988851727982163,1.0,0.9977728285077951,0.83984375,0.9163818359375,0.8487084870848709,0.8984375,0.8041958041958042
8,XGBoost,8,1.0,1.0,1.0,1.0,1.0,0.7734375,0.8599853515625,0.7898550724637681,0.8515625,0.7364864864864865
8,LogisticRegression,9,0.9988839285714286,0.9999925263073979,0.9988851727982163,1.0,0.9977728285077951,0.87109375,0.93902587890625,0.8782287822878229,0.9296875,0.8321678321678322
8,XGBoost,9,1.0,1.0,1.0,1.0,1.0,0.74609375,0.83477783203125,0.7619047619047619,0.8125,0.7172413793103448
