layer,concept,label,n,pca_k,pca_var_explained,frac_normal_marg,mean_skew,mean_kurt,mean_abs_skew,mean_abs_kurt,frac_normal_pca,mean_skew_pca,mean_kurt_pca
0,chubby,pos,161,7,0.9511348605155945,0.6103515625,-0.01333838701248169,0.026259487494826317,0.24975118041038513,0.5461068749427795,0.0,0.1655925065279007,0.589816689491272
0,chubby,neg,554,10,0.9525393843650818,0.3017578125,-0.037880197167396545,0.5480594635009766,0.289750337600708,0.7656826972961426,0.3,0.22090382874011993,1.2852740287780762
1,chubby,pos,161,28,0.9510888457298279,0.767578125,-0.014061792753636837,0.11494838446378708,0.23781481385231018,0.40779775381088257,0.8214285714285714,-0.040953125804662704,0.20823712646961212
1,chubby,neg,554,34,0.9505612850189209,0.4951171875,-0.01923791877925396,0.35281527042388916,0.23566949367523193,0.45257607102394104,0.47058823529411764,-0.010213533416390419,0.4063328206539154
2,chubby,pos,161,35,0.9502167701721191,0.8076171875,-0.01706557720899582,0.06326249986886978,0.22787967324256897,0.4106045365333557,0.7714285714285715,-0.035748131573200226,0.4352150857448578
2,chubby,neg,554,48,0.9502042531967163,0.5234375,-0.015963854268193245,0.2405446320772171,0.2280537635087967,0.3610883355140686,0.6666666666666666,-0.02534451149404049,0.31801965832710266
3,chubby,pos,161,44,0.9502534866333008,0.845703125,-0.018595702946186066,0.005123830400407314,0.19981761276721954,0.35786139965057373,0.8636363636363636,-0.00498728733509779,0.09858209639787674
3,chubby,neg,554,62,0.9502452611923218,0.61328125,-0.0037767463363707066,0.1779387891292572,0.1904086470603943,0.3008595407009125,0.6935483870967742,-0.005588405765593052,0.27359142899513245
4,chubby,pos,161,48,0.9510321617126465,0.857421875,0.0021816338412463665,0.01254088431596756,0.18900403380393982,0.3561962842941284,0.8958333333333334,0.015007209964096546,0.06800100207328796
4,chubby,neg,554,66,0.9507690072059631,0.68359375,-0.0006093588890507817,0.13446813821792603,0.1608450710773468,0.2502935826778412,0.7272727272727273,0.02171180583536625,0.20664763450622559
5,chubby,pos,161,63,0.9509026408195496,0.8798828125,0.013372444547712803,0.02796039916574955,0.196469247341156,0.3281281292438507,0.9206349206349206,-0.05717645213007927,-0.01661691628396511
5,chubby,neg,554,95,0.9506017565727234,0.6044921875,0.007637102156877518,0.18746191263198853,0.1951698213815689,0.2881576716899872,0.8105263157894737,-0.02108859084546566,0.15736497938632965
6,chubby,pos,161,73,0.9504231810569763,0.8427734375,0.012476270087063313,0.07928401231765747,0.2118641436100006,0.3581339418888092,0.9315068493150684,-0.013409271836280823,0.0798201784491539
6,chubby,neg,554,118,0.9503230452537537,0.6357421875,0.006264320574700832,0.21327096223831177,0.18677929043769836,0.3057986795902252,0.788135593220339,-0.034576479345560074,0.19068656861782074
7,chubby,pos,161,83,0.95106041431427,0.8037109375,0.0050842841155827045,0.17140638828277588,0.23673921823501587,0.41254979372024536,0.8795180722891566,-0.010733653791248798,0.08377950638532639
7,chubby,neg,554,143,0.950247049331665,0.599609375,0.008450720459222794,0.2643452286720276,0.20375816524028778,0.34479454159736633,0.8391608391608392,-0.016122739762067795,0.15074609220027924
8,chubby,pos,161,83,0.951158881187439,0.8271484375,0.008186978287994862,0.12507855892181396,0.21809518337249756,0.3759796619415283,0.927710843373494,-0.02205716446042061,0.030807076022028923
8,chubby,neg,554,138,0.9501513242721558,0.611328125,-0.0010326756164431572,0.239973247051239,0.191199392080307,0.3233417272567749,0.7971014492753623,-0.0041698734275996685,0.16760092973709106
9,chubby,pos,161,91,0.9511979818344116,0.8544921875,0.009057545103132725,0.08148382604122162,0.20014187693595886,0.3379846215248108,0.9230769230769231,0.00996934063732624,0.01946585811674595
9,chubby,neg,554,161,0.9502942562103271,0.7041015625,0.003354409011080861,0.17149704694747925,0.1532619595527649,0.2648736536502838,0.8509316770186336,0.002326368587091565,0.13756586611270905
10,chubby,pos,161,96,0.9509217143058777,0.859375,0.006993838120251894,0.10274137556552887,0.20544199645519257,0.34937238693237305,0.9166666666666666,0.00022219617676455528,0.14331422746181488
10,chubby,neg,554,180,0.9502357244491577,0.708984375,0.00039310770807787776,0.1655401885509491,0.1531566083431244,0.26073509454727173,0.8166666666666667,-0.009819288738071918,0.18608418107032776
11,chubby,pos,161,99,0.9506412148475647,0.888671875,0.005739431828260422,0.04492535442113876,0.19585776329040527,0.3288229703903198,0.898989898989899,-0.009804138913750648,0.022836579009890556
11,chubby,neg,554,194,0.950463056564331,0.736328125,0.003634335473179817,0.11676890403032303,0.14889363944530487,0.24414388835430145,0.8350515463917526,0.003765461966395378,0.16770564019680023
12,chubby,pos,161,100,0.9500513076782227,0.8896484375,0.019762789830565453,0.019674185663461685,0.1830638349056244,0.3209095597267151,0.93,-0.01883404515683651,0.02130286954343319
12,chubby,neg,554,207,0.9502384066581726,0.8037109375,0.0015617653261870146,0.0625208243727684,0.12437137961387634,0.20466327667236328,0.8260869565217391,0.007037378381937742,0.15719537436962128
13,chubby,pos,161,102,0.9513938426971436,0.88671875,0.022392939776182175,0.04273352771997452,0.19021138548851013,0.32694876194000244,0.8627450980392157,-0.009279066696763039,0.12049105018377304
13,chubby,neg,554,216,0.9500130414962769,0.7841796875,0.0007838374003767967,0.06953100115060806,0.1318843960762024,0.21320830285549164,0.7824074074074074,0.016071297228336334,0.24056421220302582
14,chubby,pos,161,100,0.9506936073303223,0.8720703125,0.01711679995059967,0.048191800713539124,0.199494868516922,0.3248913884162903,0.92,-0.002462974516674876,0.11088977754116058
14,chubby,neg,554,212,0.9501683115959167,0.720703125,0.007277711294591427,0.10303708910942078,0.14606380462646484,0.23775307834148407,0.7358490566037735,-0.0037760806735605,0.29934418201446533
15,chubby,pos,161,103,0.9512200355529785,0.90234375,0.022493887692689896,0.002387712011113763,0.18010154366493225,0.30834880471229553,0.8446601941747572,0.03173265978693962,0.12145233899354935
15,chubby,neg,554,223,0.9502273797988892,0.7802734375,0.0025278145913034678,0.09866315126419067,0.13505516946315765,0.21840214729309082,0.7040358744394619,0.007542699575424194,0.3081585466861725
