concept,method,debias_layer,n_iter,baseline_test,after_7iter_test,max_recovery_test,max_recovery_layer
wearing_hat,diff_means,15,7,0.671,0.49,0.968,23
wearing_hat,lr,15,7,0.927,0.821,0.972,23
wearing_hat,pclarc,15,7,0.671,0.49,0.971,23
