layer_id,run_id,debias_method,model,method,train_accuracy,train_roc_auc,train_f1,train_recall,train_precision,test_accuracy,test_roc_auc,test_f1,test_recall,test_precision
20,0,lr,LogisticRegression,real,0.882262996941896,0.9480414994433686,0.8869309838472834,0.9069069069069069,0.867816091954023,0.8125,0.93701171875,0.7966101694915254,0.734375,0.8703703703703703
20,0,lr,XGBoost,real,0.8623853211009175,0.9275817873948715,0.8710601719197708,0.9129129129129129,0.8328767123287671,0.83984375,0.91571044921875,0.842911877394636,0.859375,0.8270676691729323
20,0,dm,LogisticRegression,real,0.4908256880733945,0.39654607878906944,0.0,0.0,0.0,0.5,0.492401123046875,0.0,0.0,0.0
20,0,dm,XGBoost,real,0.7507645259938838,0.8346290215449094,0.770098730606488,0.8198198198198198,0.726063829787234,0.6875,0.76708984375,0.6923076923076923,0.703125,0.6818181818181818
20,0,lr,LogisticRegression,random_shuffle,0.46636085626911317,0.4703114329282554,0.47040971168437024,0.46546546546546547,0.4754601226993865,0.44921875,0.45513916015625,0.4,0.3671875,0.4392523364485981
20,0,lr,LogisticRegression,random_unit_vector,0.5336391437308868,0.5476691644915945,0.5371775417298937,0.5315315315315315,0.5429447852760736,0.55078125,0.59375,0.5692883895131086,0.59375,0.5467625899280576
20,0,dm,LogisticRegression,random_shuffle,0.4923547400611621,0.5018757074831841,0.473015873015873,0.44744744744744747,0.5016835016835017,0.546875,0.5535888671875,0.4956521739130435,0.4453125,0.5588235294117647
20,0,dm,LogisticRegression,random_unit_vector,0.518348623853211,0.5116705490537266,0.5374449339207048,0.5495495495495496,0.5258620689655172,0.5078125,0.5419921875,0.496,0.484375,0.5081967213114754
20,1,lr,LogisticRegression,real,0.8810975609756098,0.9477852660934232,0.884272997032641,0.916923076923077,0.8538681948424068,0.875,0.9517822265625,0.873015873015873,0.859375,0.8870967741935484
20,1,lr,XGBoost,real,0.8551829268292683,0.9235138275621659,0.8592592592592593,0.8923076923076924,0.8285714285714286,0.84765625,0.91204833984375,0.8494208494208494,0.859375,0.8396946564885496
20,1,dm,LogisticRegression,real,0.4954268292682927,0.6124657215895888,0.6618998978549541,0.9969230769230769,0.4954128440366973,0.5,0.45635986328125,0.6666666666666666,1.0,0.5
20,1,dm,XGBoost,real,0.7667682926829268,0.8425563560306762,0.7740029542097489,0.8061538461538461,0.7443181818181818,0.71875,0.7763671875,0.71875,0.71875,0.71875
20,1,lr,LogisticRegression,random_shuffle,0.5213414634146342,0.528803160585638,0.5078369905956113,0.49846153846153846,0.5175718849840255,0.58203125,0.6083984375,0.5868725868725869,0.59375,0.5801526717557252
20,1,lr,LogisticRegression,random_unit_vector,0.5167682926829268,0.5249639786195678,0.5247376311844077,0.5384615384615384,0.5116959064327485,0.4296875,0.3956298828125,0.42063492063492064,0.4140625,0.4274193548387097
20,1,dm,LogisticRegression,random_shuffle,0.4847560975609756,0.5052010225424123,0.4668769716088328,0.4553846153846154,0.47896440129449835,0.51953125,0.51275634765625,0.5138339920948617,0.5078125,0.52
20,1,dm,LogisticRegression,random_unit_vector,0.44664634146341464,0.46545201022542415,0.44916540212443096,0.4553846153846154,0.4431137724550898,0.42578125,0.42584228515625,0.4367816091954023,0.4453125,0.42857142857142855
20,2,lr,LogisticRegression,real,0.8686708860759493,0.9364878948212281,0.869701726844584,0.8993506493506493,0.8419452887537994,0.80859375,0.912841796875,0.7983539094650206,0.7578125,0.8434782608695652
20,2,lr,XGBoost,real,0.8338607594936709,0.9032587782587782,0.8377125193199382,0.8798701298701299,0.799410029498525,0.859375,0.9251708984375,0.8625954198473282,0.8828125,0.8432835820895522
20,2,dm,LogisticRegression,real,0.49683544303797467,0.39889971139971137,0.00625,0.003246753246753247,0.08333333333333333,0.5,0.46429443359375,0.0,0.0,0.0
