layer_id,run_id,debias_method,model,method,train_accuracy,train_roc_auc,train_f1,train_recall,train_precision,test_accuracy,test_roc_auc,test_f1,test_recall,test_precision
2,0,lr,LogisticRegression,real,0.7981651376146789,0.8784391868504018,0.7950310559006211,0.7687687687687688,0.8231511254019293,0.80078125,0.8695068359375,0.7901234567901234,0.75,0.8347826086956521
2,0,lr,XGBoost,real,0.7966360856269113,0.855584556519136,0.8017883755588674,0.8078078078078078,0.7958579881656804,0.80078125,0.8741455078125,0.7951807228915663,0.7734375,0.8181818181818182
2,0,dm,LogisticRegression,real,0.4908256880733945,0.49276846940398344,0.0,0.0,0.0,0.5,0.51910400390625,0.0,0.0,0.0
2,0,dm,XGBoost,real,0.7232415902140673,0.7890133123777984,0.7253414264036419,0.7177177177177178,0.7331288343558282,0.67578125,0.7447509765625,0.6639676113360324,0.640625,0.6890756302521008
2,0,lr,LogisticRegression,random_shuffle,0.4984709480122324,0.5169468533954515,0.48427672955974843,0.4624624624624625,0.5082508250825083,0.47265625,0.4530029296875,0.4827586206896552,0.4921875,0.47368421052631576
2,0,lr,LogisticRegression,random_unit_vector,0.42201834862385323,0.3778825554526489,0.4166666666666667,0.40540540540540543,0.42857142857142855,0.39453125,0.38250732421875,0.3968871595330739,0.3984375,0.3953488372093023
2,0,dm,LogisticRegression,random_shuffle,0.5458715596330275,0.5557333033968548,0.547945205479452,0.5405405405405406,0.5555555555555556,0.53125,0.54608154296875,0.5588235294117647,0.59375,0.5277777777777778
2,0,dm,LogisticRegression,random_unit_vector,0.4785932721712538,0.45985237574022625,0.46467817896389324,0.4444444444444444,0.4868421052631579,0.5,0.49627685546875,0.47540983606557374,0.453125,0.5
2,1,lr,LogisticRegression,real,0.7972560975609756,0.8699326051591912,0.7981790591805766,0.8092307692307692,0.7874251497005988,0.796875,0.86993408203125,0.796875,0.796875,0.796875
2,1,lr,XGBoost,real,0.8125,0.882333255867999,0.8150375939849624,0.8338461538461538,0.7970588235294118,0.79296875,0.84478759765625,0.7937743190661478,0.796875,0.7906976744186046
2,1,dm,LogisticRegression,real,0.4954268292682927,0.4857820125493842,0.6625891946992865,1.0,0.4954268292682927,0.5,0.62109375,0.6666666666666666,1.0,0.5
2,1,dm,XGBoost,real,0.711890243902439,0.7843458052521496,0.7060653188180405,0.6984615384615385,0.7138364779874213,0.6640625,0.7191162109375,0.6717557251908397,0.6875,0.6567164179104478
2,1,lr,LogisticRegression,random_shuffle,0.5274390243902439,0.5247315826167789,0.5125786163522013,0.5015384615384615,0.5241157556270096,0.53125,0.56964111328125,0.52,0.5078125,0.5327868852459017
2,1,lr,LogisticRegression,random_unit_vector,0.5365853658536586,0.5538740413664885,0.5421686746987951,0.5538461538461539,0.5309734513274337,0.49609375,0.4903564453125,0.5095057034220533,0.5234375,0.4962962962962963
2,1,dm,LogisticRegression,random_shuffle,0.4878048780487805,0.4782988612595863,0.48148148148148145,0.48,0.48297213622291024,0.48046875,0.45098876953125,0.4864864864864865,0.4921875,0.48091603053435117
