layer_id,model,run_id,method,train_accuracy,train_roc_auc,train_f1,train_recall,train_precision,test_accuracy,test_roc_auc,test_f1,test_recall,test_precision
5,LogisticRegression,0,real,0.8608562691131498,0.9371537136867325,0.8623298033282905,0.8482142857142857,0.8769230769230769,0.8203125,0.886474609375,0.816,0.796875,0.8360655737704918
5,XGBoost,0,real,0.8363914373088684,0.9120245582509734,0.8356374807987711,0.8095238095238095,0.8634920634920635,0.7421875,0.84765625,0.7421875,0.7421875,0.7421875
5,LogisticRegression,0,random_shuffle,0.45565749235474007,0.4497978436657682,0.45565749235474007,0.44345238095238093,0.46855345911949686,0.453125,0.44970703125,0.453125,0.453125,0.453125
5,LogisticRegression,0,random_unit_vector,0.555045871559633,0.5845219377058999,0.5610859728506787,0.5535714285714286,0.5688073394495413,0.546875,0.55474853515625,0.5433070866141733,0.5390625,0.5476190476190477
5,LogisticRegression,1,real,0.864329268292683,0.940125493841506,0.8661654135338346,0.8861538461538462,0.8470588235294118,0.859375,0.92144775390625,0.8625954198473282,0.8828125,0.8432835820895522
5,XGBoost,1,real,0.8079268292682927,0.8866093423193121,0.8108108108108109,0.8307692307692308,0.7917888563049853,0.78515625,0.859619140625,0.7924528301886793,0.8203125,0.7664233576642335
5,LogisticRegression,1,random_shuffle,0.49390243902439024,0.5082035788984429,0.5117647058823529,0.5353846153846153,0.49014084507042255,0.4609375,0.46356201171875,0.48120300751879697,0.5,0.463768115942029
5,LogisticRegression,1,random_unit_vector,0.5670731707317073,0.5717592377411109,0.5696969696969697,0.5784615384615385,0.5611940298507463,0.578125,0.63128662109375,0.5423728813559322,0.5,0.5925925925925926
5,LogisticRegression,2,real,0.8449367088607594,0.9257501101630413,0.8459119496855346,0.8459119496855346,0.8459119496855346,0.8125,0.91217041015625,0.8032786885245902,0.765625,0.8448275862068966
5,XGBoost,2,real,0.805379746835443,0.8936325762127949,0.8081123244929798,0.8144654088050315,0.8018575851393189,0.78125,0.84222412109375,0.78125,0.78125,0.78125
