layer_id,model,run_id,train_accuracy,train_roc_auc,train_f1,train_recall,train_precision,test_accuracy,test_roc_auc,test_f1,test_recall,test_precision
12,LogisticRegression,0,0.9900948660714286,0.999341088898328,0.9900948660714286,0.9900948660714286,0.9900948660714286,0.93994140625,0.9848613739013672,0.9401459854014599,0.943359375,0.9369544131910766
12,XGBoost,0,0.9378487723214286,0.9844461363189074,0.9385813745088578,0.9497767857142857,0.927646818367625,0.81103515625,0.8754301071166992,0.8171941426547,0.8447265625,0.7913998170173834
12,LogisticRegression,1,0.9878627232142857,0.9990689608515527,0.9878525551521922,0.9870256696428571,0.9886808272778088,0.947265625,0.9859800338745117,0.947265625,0.947265625,0.947265625
12,XGBoost,1,0.9395926339285714,0.9850668031342176,0.9402758620689655,0.9510323660714286,0.9297599563557011,0.7978515625,0.8693361282348633,0.8022922636103151,0.8203125,0.7850467289719626
12,LogisticRegression,2,0.9890485491071429,0.9992273875645229,0.9890401396160559,0.98828125,0.9898001956126868,0.94775390625,0.9872274398803711,0.9479318734793187,0.951171875,0.944713870029098
12,XGBoost,2,0.935546875,0.9845492401901557,0.9364336818932306,0.9494977678571429,0.9237242128121607,0.8076171875,0.8777990341186523,0.8134469696969697,0.8388671875,0.7895220588235294
12,LogisticRegression,3,0.9889090401785714,0.9993019882513553,0.9889067187609014,0.9886997767857143,0.9891137473831123,0.94287109375,0.985539436340332,0.9432314410480349,0.94921875,0.9373191899710704
12,XGBoost,3,0.9397321428571429,0.9848041923678652,0.9403562059919923,0.9501953125,0.9307187756217545,0.79443359375,0.8758907318115234,0.8018823529411765,0.83203125,0.773841961852861
12,LogisticRegression,4,0.9905133928571429,0.999333109174456,0.9905080960357342,0.9899553571428571,0.9910614525139665,0.94482421875,0.9848127365112305,0.9448511469009273,0.9453125,0.944390243902439
12,XGBoost,4,0.9398018973214286,0.9848946357259946,0.9406097309201018,0.9534040178571429,0.9281542849382045,0.8076171875,0.8819470405578613,0.8136234626300851,0.83984375,0.7889908256880734
12,LogisticRegression,5,0.9893275669642857,0.9992299955718371,0.9893178803323326,0.9884207589285714,0.9902166317260657,0.94482421875,0.9842472076416016,0.9450656295576082,0.94921875,0.9409486931268151
12,XGBoost,5,0.9388950892857143,0.9846387006798569,0.9398847104035136,0.9553571428571429,0.9249054565099946,0.798828125,0.8762784004211426,0.8049242424242424,0.830078125,0.78125
12,LogisticRegression,6,0.9901646205357143,0.9992091704388055,0.9901707912164517,0.9907924107142857,0.9895499512331057,0.94384765625,0.9866495132446289,0.9439844130540672,0.9462890625,0.9416909620991254
12,XGBoost,6,0.93505859375,0.984353493671028,0.9360708645196731,0.9508928571428571,0.9217038539553752,0.806640625,0.8780946731567383,0.8130311614730878,0.8408203125,0.7870201096892139
12,LogisticRegression,7,0.9879324776785714,0.9990179684697366,0.9879501288570035,0.9893973214285714,0.9865071637223536,0.94140625,0.9857940673828125,0.9415204678362573,0.943359375,0.9396887159533074
12,XGBoost,7,0.9378487723214286,0.9848359166359415,0.9386236825790453,0.9504743303571429,0.9270649067900395,0.80810546875,0.8765554428100586,0.8143599433160132,0.841796875,0.7886550777676121
12,LogisticRegression,8,0.9900948660714286,0.999379216408243,0.9900837988826816,0.9889787946428571,0.9911912751677853,0.94384765625,0.9864311218261719,0.9442559379544353,0.951171875,0.9374398460057748
12,XGBoost,8,0.9414760044642857,0.9852992563831563,0.9421419212468105,0.9529854910714286,0.9315423428337651,0.798828125,0.8732337951660156,0.80765639589169,0.8447265625,0.7737030411449016
12,LogisticRegression,9,0.9898856026785714,0.9992538179670063,0.9898975823869575,0.9910714285714286,0.9887265135699373,0.94384765625,0.9853754043579102,0.9439844130540672,0.9462890625,0.9416909620991254
12,XGBoost,9,0.9395926339285714,0.9841910770961216,0.9405383136500961,0.9554966517857143,0.9260411032990806,0.8076171875,0.8815097808837891,0.8130929791271347,0.8369140625,0.790590405904059
