layer_id,run_id,debias_method,model,method,train_accuracy,train_roc_auc,train_f1,train_recall,train_precision,test_accuracy,test_roc_auc,test_f1,test_recall,test_precision
4,0,lr,LogisticRegression,real,0.8440366972477065,0.9176119347109915,0.8486646884272997,0.8511904761904762,0.8461538461538461,0.78515625,0.85809326171875,0.7843137254901961,0.78125,0.7874015748031497
4,0,lr,XGBoost,real,0.8394495412844036,0.8925389338125186,0.8387096774193549,0.8125,0.8666666666666667,0.78515625,0.842041015625,0.7773279352226721,0.75,0.8067226890756303
4,0,dm,LogisticRegression,real,0.48623853211009177,0.5375299490865528,0.0,0.0,0.0,0.5,0.58355712890625,0.0,0.0,0.0
4,0,dm,XGBoost,real,0.7568807339449541,0.8130709044624139,0.7601809954751131,0.75,0.7706422018348624,0.671875,0.73724365234375,0.664,0.6484375,0.680327868852459
4,0,lr,LogisticRegression,random_shuffle,0.5091743119266054,0.526065064390536,0.5007776049766719,0.4791666666666667,0.5244299674267101,0.4765625,0.44769287109375,0.49242424242424243,0.5078125,0.47794117647058826
4,0,lr,LogisticRegression,random_unit_vector,0.5015290519877675,0.47899820305480684,0.5205882352941177,0.5267857142857143,0.5145348837209303,0.49609375,0.48529052734375,0.5057471264367817,0.515625,0.49624060150375937
4,0,dm,LogisticRegression,random_shuffle,0.4923547400611621,0.48452942497753815,0.49390243902439024,0.48214285714285715,0.50625,0.55078125,0.53240966796875,0.5381526104417671,0.5234375,0.5537190082644629
4,0,dm,LogisticRegression,random_unit_vector,0.518348623853211,0.501169886193471,0.5131375579598145,0.49404761904761907,0.5337620578778135,0.51171875,0.5032958984375,0.4897959183673469,0.46875,0.5128205128205128
4,1,lr,LogisticRegression,real,0.8307926829268293,0.9081570996978852,0.8335832083958021,0.8553846153846154,0.8128654970760234,0.77734375,0.86199951171875,0.7764705882352941,0.7734375,0.7795275590551181
4,1,lr,XGBoost,real,0.8567073170731707,0.9029328375551939,0.8580060422960725,0.8738461538461538,0.8427299703264095,0.80078125,0.845428466796875,0.796812749003984,0.78125,0.8130081300813008
