concept,method,layer,label,mmd2
bald,pclarc,19,pos,0.02755214573103615
bald,pclarc,19,neg,0.0
bald,pclarc,20,pos,0.028224433913658142
bald,pclarc,20,neg,0.0
bald,pclarc,21,pos,0.029510733790702348
bald,pclarc,21,neg,0.0
bald,pclarc,22,pos,0.024016812744324545
bald,pclarc,22,neg,0.0
bald,pclarc,23,pos,0.03305774477233192
bald,pclarc,23,neg,0.0
