layer_id,model,run_id,method,train_accuracy,train_roc_auc,train_f1,train_recall,train_precision,test_accuracy,test_roc_auc,test_f1,test_recall,test_precision
21,LogisticRegression,0,real,0.7859327217125383,0.8655552957680617,0.7819314641744548,0.7629179331306991,0.8019169329073482,0.7421875,0.85205078125,0.7203389830508474,0.6640625,0.7870370370370371
21,XGBoost,0,real,0.8180428134556575,0.8928220715454759,0.8205128205128205,0.8267477203647416,0.8143712574850299,0.7421875,0.84759521484375,0.736,0.71875,0.7540983606557377
21,LogisticRegression,0,random_shuffle,0.4969418960244648,0.4849848024316109,0.4946236559139785,0.48936170212765956,0.5,0.50390625,0.508056640625,0.48582995951417,0.46875,0.5042016806722689
21,LogisticRegression,0,random_unit_vector,0.4602446483180428,0.45483282674772035,0.4510108864696734,0.44072948328267475,0.46178343949044587,0.46875,0.45086669921875,0.4728682170542636,0.4765625,0.46923076923076923
21,LogisticRegression,1,real,0.7972560975609756,0.858723546695429,0.7931570762052877,0.7919254658385093,0.794392523364486,0.71875,0.81695556640625,0.6814159292035398,0.6015625,0.7857142857142857
21,XGBoost,1,real,0.7987804878048781,0.8842563320563842,0.8023952095808383,0.8322981366459627,0.7745664739884393,0.796875,0.88031005859375,0.796875,0.796875,0.796875
21,LogisticRegression,1,random_shuffle,0.5045731707317073,0.49646669394130993,0.49139280125195617,0.48757763975155277,0.4952681388012618,0.5546875,0.56829833984375,0.5546875,0.5546875,0.5546875
21,LogisticRegression,1,random_unit_vector,0.49085365853658536,0.47387213151337076,0.4748427672955975,0.468944099378882,0.48089171974522293,0.5,0.4912109375,0.47107438016528924,0.4453125,0.5
21,LogisticRegression,2,real,0.7863924050632911,0.8651509683628053,0.78330658105939,0.7973856209150327,0.7697160883280757,0.7734375,0.8466796875,0.7583333333333333,0.7109375,0.8125
21,XGBoost,2,real,0.8085443037974683,0.8849693251533742,0.8070175438596491,0.826797385620915,0.7881619937694704,0.7734375,0.86614990234375,0.7716535433070866,0.765625,0.7777777777777778
21,LogisticRegression,2,random_shuffle,0.4920886075949367,0.47647259312723045,0.49765258215962443,0.5196078431372549,0.4774774774774775,0.41015625,0.40460205078125,0.38866396761133604,0.375,0.40336134453781514
21,LogisticRegression,2,random_unit_vector,0.41930379746835444,0.38696419263001725,0.3953871499176277,0.39215686274509803,0.39867109634551495,0.546875,0.54205322265625,0.5703703703703704,0.6015625,0.5422535211267606
21,LogisticRegression,3,real,0.810477657935285,0.888933211762024,0.8069073783359497,0.8006230529595015,0.8132911392405063,0.77734375,0.8577880859375,0.7654320987654321,0.7265625,0.808695652173913
21,XGBoost,3,real,0.810477657935285,0.8931977053415394,0.8087091757387247,0.8099688473520249,0.8074534161490683,0.7890625,0.864013671875,0.784,0.765625,0.8032786885245902
21,LogisticRegression,3,random_shuffle,0.5454545454545454,0.5586296633994376,0.5368916797488226,0.5327102803738317,0.5411392405063291,0.5078125,0.52239990234375,0.5153846153846153,0.5234375,0.5075757575757576
21,LogisticRegression,3,random_unit_vector,0.5161787365177196,0.5292151052351646,0.5047318611987381,0.4984423676012461,0.5111821086261981,0.51171875,0.50238037109375,0.4769874476987448,0.4453125,0.5135135135135135
21,LogisticRegression,4,real,0.787556904400607,0.864202657807309,0.7770700636942676,0.7746031746031746,0.7795527156549521,0.78125,0.8653564453125,0.7647058823529411,0.7109375,0.8272727272727273
21,XGBoost,4,real,0.8012139605462822,0.880860095976375,0.8,0.8317460317460318,0.7705882352941177,0.77734375,0.85906982421875,0.7747035573122529,0.765625,0.784
21,LogisticRegression,4,random_shuffle,0.5083459787556904,0.5195736434108527,0.5178571428571429,0.5523809523809524,0.48739495798319327,0.5234375,0.5311279296875,0.5481481481481482,0.578125,0.5211267605633803
21,LogisticRegression,4,random_unit_vector,0.496206373292868,0.506626061277224,0.47634069400630913,0.4793650793650794,0.47335423197492166,0.60546875,0.63916015625,0.6007905138339921,0.59375,0.608
21,LogisticRegression,5,real,0.7929984779299848,0.8812272963155163,0.7888198757763976,0.7720364741641338,0.8063492063492064,0.74609375,0.836181640625,0.7280334728033473,0.6796875,0.7837837837837838
21,XGBoost,5,real,0.8036529680365296,0.8859255689821337,0.7993779160186625,0.7811550151975684,0.8184713375796179,0.75390625,0.86126708984375,0.7449392712550608,0.71875,0.773109243697479
21,LogisticRegression,5,random_shuffle,0.5342465753424658,0.5597060567870116,0.5233644859813084,0.5106382978723404,0.536741214057508,0.5078125,0.50152587890625,0.4661016949152542,0.4296875,0.5092592592592593
21,LogisticRegression,5,random_unit_vector,0.5646879756468798,0.5752557639558159,0.5744047619047619,0.5866261398176292,0.5626822157434402,0.5625,0.57720947265625,0.582089552238806,0.609375,0.5571428571428572
21,LogisticRegression,6,real,0.7829457364341085,0.8703222952963348,0.7770700636942676,0.7601246105919003,0.7947882736156352,0.72265625,0.8492431640625,0.70042194092827,0.6484375,0.7614678899082569
21,XGBoost,6,real,0.8186046511627907,0.8911003422945272,0.8208269525267994,0.8348909657320872,0.8072289156626506,0.7734375,0.854248046875,0.7698412698412699,0.7578125,0.782258064516129
21,LogisticRegression,6,random_shuffle,0.4883720930232558,0.47760663051421104,0.47619047619047616,0.4672897196261682,0.4854368932038835,0.484375,0.525634765625,0.46774193548387094,0.453125,0.48333333333333334
21,LogisticRegression,6,random_unit_vector,0.46511627906976744,0.44674243298334676,0.4700460829493088,0.4766355140186916,0.4636363636363636,0.5546875,0.58056640625,0.5648854961832062,0.578125,0.5522388059701493
21,LogisticRegression,7,real,0.8009049773755657,0.8779213687659264,0.7981651376146789,0.7957317073170732,0.8006134969325154,0.78515625,0.85992431640625,0.7755102040816326,0.7421875,0.811965811965812
21,XGBoost,7,real,0.8054298642533937,0.8915362213323627,0.8083209509658247,0.8292682926829268,0.7884057971014493,0.78125,0.860595703125,0.7777777777777778,0.765625,0.7903225806451613
21,LogisticRegression,7,random_shuffle,0.5037707390648567,0.4812704768838733,0.5096870342771982,0.5213414634146342,0.49854227405247814,0.421875,0.4266357421875,0.4307692307692308,0.4375,0.42424242424242425
21,LogisticRegression,7,random_unit_vector,0.48717948717948717,0.4729341099381143,0.47692307692307695,0.4725609756097561,0.4813664596273292,0.51171875,0.49920654296875,0.48559670781893005,0.4609375,0.5130434782608696
21,LogisticRegression,8,real,0.8229954614220878,0.8916685034163543,0.8202764976958525,0.8557692307692307,0.7876106194690266,0.71484375,0.822998046875,0.694560669456067,0.6484375,0.7477477477477478
21,XGBoost,8,real,0.7957639939485628,0.8687917860553964,0.7913446676970634,0.8205128205128205,0.764179104477612,0.78515625,0.84515380859375,0.7859922178988327,0.7890625,0.7829457364341085
21,LogisticRegression,8,random_shuffle,0.5037821482602118,0.49222136507236797,0.4692556634304207,0.46474358974358976,0.4738562091503268,0.484375,0.5028076171875,0.4883720930232558,0.4921875,0.4846153846153846
21,LogisticRegression,8,random_unit_vector,0.5052950075642966,0.5050281022702225,0.4784688995215311,0.4807692307692308,0.47619047619047616,0.484375,0.50787353515625,0.4883720930232558,0.4921875,0.4846153846153846
21,LogisticRegression,9,real,0.7823439878234398,0.8674382830454443,0.781010719754977,0.7750759878419453,0.7870370370370371,0.75390625,0.848876953125,0.7364016736401674,0.6875,0.7927927927927928
21,XGBoost,9,real,0.7808219178082192,0.8703573281933428,0.7791411042944786,0.7720364741641338,0.7863777089783281,0.7890625,0.86395263671875,0.7857142857142857,0.7734375,0.7983870967741935
21,LogisticRegression,9,random_shuffle,0.4764079147640791,0.47962228482467195,0.4658385093167702,0.45592705167173253,0.47619047619047616,0.48828125,0.46197509765625,0.4472573839662447,0.4140625,0.48623853211009177
