layer_id,run_id,debias_method,model,train_accuracy,train_roc_auc,train_f1,train_recall,train_precision,test_accuracy,test_roc_auc,test_f1,test_recall,test_precision
19,0,lr,LogisticRegression,0.9886300223214286,0.9959335911030672,0.9886101600167703,0.9868861607142857,0.9903401931961361,0.96484375,0.9930839538574219,0.9652173913043478,0.9755859375,0.9550669216061185
19,0,lr,XGBoost,0.9998604910714286,0.9999997275216238,0.9998604716059718,0.9997209821428571,1.0,0.9130859375,0.9759469032287598,0.916195856873823,0.9501953125,0.8845454545454545
19,0,dm,LogisticRegression,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
19,0,dm,XGBoost,0.9933733258928571,0.9997766845080317,0.9933885447839098,0.9956752232142857,0.9911123455075684,0.83935546875,0.9185123443603516,0.8440018966334756,0.869140625,0.8202764976958525
19,1,lr,LogisticRegression,0.9893973214285714,0.9957121634969907,0.9893750873759262,0.9873046875,0.991454188848417,0.9716796875,0.9928436279296875,0.9717348927875243,0.9736328125,0.9698443579766537
19,1,lr,XGBoost,0.9997907366071429,0.9999999416117765,0.9997907220090687,0.9997209821428571,0.9998604716059718,0.9189453125,0.9789390563964844,0.9219924812030075,0.9580078125,0.8885869565217391
19,1,dm,LogisticRegression,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
19,1,dm,XGBoost,0.9942801339285714,0.9997980740605568,0.9942936673625609,0.9966517857142857,0.9919466814773674,0.82568359375,0.9147319793701172,0.8316831683168316,0.861328125,0.8040109389243391
19,2,lr,LogisticRegression,0.9884905133928571,0.994944514060507,0.9884736290604261,0.9870256696428571,0.9899258430110536,0.962890625,0.9922361373901367,0.9629990262901655,0.9658203125,0.9601941747572815
19,2,lr,XGBoost,1.0,1.0,1.0,1.0,1.0,0.923828125,0.9786462783813477,0.9268978444236177,0.9658203125,0.890990990990991
19,2,dm,LogisticRegression,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
19,2,dm,XGBoost,0.9934430803571429,0.9998469839290697,0.99346041463754,0.99609375,0.9908409658617818,0.82568359375,0.911376953125,0.8337214718211458,0.8740234375,0.7969723953695459
19,3,lr,LogisticRegression,0.9886997767857143,0.9953043801443917,0.9886744966442953,0.9864676339285714,0.9908912556053812,0.966796875,0.9928808212280273,0.9670223084384093,0.9736328125,0.9605009633911368
19,3,lr,XGBoost,1.0,1.0,1.0,1.0,1.0,0.923828125,0.9786796569824219,0.9270346117867165,0.9677734375,0.8895870736086176
19,3,dm,LogisticRegression,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
19,3,dm,XGBoost,0.9938616071428571,0.9998113281872807,0.9938744257274119,0.9959542410714286,0.9918032786885246,0.83642578125,0.918848991394043,0.842501175364363,0.875,0.8123300090661831
19,4,lr,LogisticRegression,0.9872349330357143,0.9957788623109156,0.987203692049507,0.9847935267857143,0.9896256834431515,0.97265625,0.9935464859008789,0.9728419010669254,0.9794921875,0.9662813102119461
19,4,lr,XGBoost,0.9998604910714286,0.9999999026862942,0.9998604910714286,0.9998604910714286,0.9998604910714286,0.9150390625,0.9742584228515625,0.9183098591549296,0.955078125,0.8842676311030742
19,4,dm,LogisticRegression,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
19,4,dm,XGBoost,0.9947684151785714,0.9998830873139051,0.9947804300925603,0.9970703125,0.9925010415220108,0.83837890625,0.9206705093383789,0.8445279473931423,0.8779296875,0.8135746606334842
19,5,lr,LogisticRegression,0.9870954241071429,0.9959270905475228,0.9870819076880106,0.9860491071428571,0.9881168740388648,0.97119140625,0.9931974411010742,0.9712615684364345,0.9736328125,0.9689018464528668
19,5,lr,XGBoost,0.9999302455357143,1.0,0.9999302406696896,0.9998604910714286,1.0,0.91748046875,0.9796304702758789,0.9212855146716349,0.9658203125,0.8806767586821015
19,5,dm,LogisticRegression,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
19,5,dm,XGBoost,0.9948381696428571,0.9998009156207649,0.9948446426083322,0.99609375,0.9935986640690231,0.83349609375,0.9164800643920898,0.8390750353940538,0.8681640625,0.8118721461187215
19,6,lr,LogisticRegression,0.9851422991071429,0.9954246404219648,0.985118423810522,0.9835379464285714,0.986703988803359,0.96630859375,0.9928350448608398,0.9665535627726611,0.9736328125,0.9595765158806545
19,6,lr,XGBoost,0.9999302455357143,0.9999988516982721,0.9999302406696896,0.9998604910714286,1.0,0.91162109375,0.977564811706543,0.9152224824355972,0.9541015625,0.8793879387938794
19,6,dm,LogisticRegression,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
19,6,dm,XGBoost,0.9944196428571429,0.9997662524787747,0.9944274171078294,0.9958147321428571,0.9930439621591541,0.82763671875,0.909820556640625,0.8343500703894885,0.8681640625,0.8030713640469738
19,7,lr,LogisticRegression,0.9871651785714286,0.9953675951276507,0.9871310672821374,0.9845145089285714,0.9897615708274895,0.96533203125,0.9920969009399414,0.9656839052682455,0.9755859375,0.9559808612440192
19,7,lr,XGBoost,0.9998604910714286,1.0,0.9998604716059718,0.9997209821428571,1.0,0.91748046875,0.9781789779663086,0.92054536906441,0.9560546875,0.8875793291024479
19,7,dm,LogisticRegression,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
19,7,dm,XGBoost,0.9935128348214286,0.9997725584069077,0.9935232258513824,0.9951171875,0.9919343623974413,0.84033203125,0.9195709228515625,0.8475524475524475,0.8876953125,0.8108831400535237
19,8,lr,LogisticRegression,0.9884905133928571,0.9957817038711236,0.9884800670250646,0.9875837053571429,0.9893780573025857,0.966796875,0.9912281036376953,0.9669902912621359,0.97265625,0.9613899613899614
19,8,lr,XGBoost,0.9999302455357143,0.9999999610745177,0.9999302406696896,0.9998604910714286,1.0,0.9150390625,0.9766006469726562,0.9186155285313377,0.958984375,0.881508078994614
19,8,dm,LogisticRegression,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
19,8,dm,XGBoost,0.9934430803571429,0.9996900947726503,0.9934667778704476,0.9970703125,0.9898891966759003,0.826171875,0.9146404266357422,0.8330206378986866,0.8671875,0.8014440433212996
19,9,lr,LogisticRegression,0.9880719866071429,0.9951958169742505,0.9880377754459602,0.9852120535714286,0.9908797530517749,0.970703125,0.9931678771972656,0.9708171206225681,0.974609375,0.9670542635658915
19,9,lr,XGBoost,0.9998604910714286,1.0,0.9998604716059718,0.9997209821428571,1.0,0.921875,0.9756069183349609,0.9250234301780693,0.9638671875,0.8891891891891892
19,9,dm,LogisticRegression,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
19,9,dm,XGBoost,0.9950474330357143,0.9997842944398218,0.9950519199944247,0.9959542410714286,0.9941512324188831,0.84716796875,0.9219083786010742,0.8547563805104408,0.8994140625,0.8143236074270557
