layer_id,run_id,debias_method,model,train_accuracy,train_roc_auc,train_f1,train_recall,train_precision,test_accuracy,test_roc_auc,test_f1,test_recall,test_precision
0,0,lr,LogisticRegression,0.7601841517857143,0.8430824085157744,0.7607182628062361,0.7624162946428571,0.7590277777777777,0.73095703125,0.8069477081298828,0.7357314148681056,0.7490234375,0.7229029217719133
0,0,lr,XGBoost,0.9632393973214286,0.9936480814096879,0.9634864546525324,0.9700055803571429,0.9570543702684102,0.7509765625,0.8177328109741211,0.7557471264367817,0.7705078125,0.7415413533834586
0,0,dm,LogisticRegression,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
0,0,dm,XGBoost,0.9529157366071429,0.9902635107235032,0.9534000690369347,0.9633091517857143,0.9436927702610359,0.63427734375,0.6773662567138672,0.6458628841607565,0.6669921875,0.6260311640696609
0,1,lr,LogisticRegression,0.7693219866071429,0.8468769813070494,0.7689835836535103,0.7678571428571429,0.7701133342661256,0.74365234375,0.8129615783691406,0.7489239598278336,0.7646484375,0.7338331771321462
0,1,lr,XGBoost,0.9644949776785714,0.9942219403325294,0.9647335966188596,0.9712611607142857,0.9582931865106676,0.740234375,0.8129310607910156,0.7432432432432432,0.751953125,0.7347328244274809
0,1,dm,LogisticRegression,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
0,1,dm,XGBoost,0.9469866071428571,0.9888415433922593,0.9474847982310669,0.9564732142857143,0.9386637458926615,0.61328125,0.672217845916748,0.6136585365853658,0.6142578125,0.6130604288499025
0,2,lr,LogisticRegression,0.7699497767857143,0.8463072874108138,0.7705260228221542,0.7724609375,0.7686007773459189,0.73974609375,0.8141841888427734,0.7416383906931653,0.7470703125,0.7362848893166506
0,2,lr,XGBoost,0.9614955357142857,0.9936521491225884,0.9614632784138509,0.9606584821428571,0.9622694242593628,0.74560546875,0.8195657730102539,0.744982868330886,0.7431640625,0.746810598626104
0,2,dm,LogisticRegression,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
0,2,dm,XGBoost,0.9476841517857143,0.9887597998794244,0.9483542211816555,0.9606584821428571,0.9363611639923851,0.6259765625,0.6747980117797852,0.6369668246445498,0.65625,0.6187845303867403
0,3,lr,LogisticRegression,0.7673688616071429,0.8443064397695113,0.7679354255097071,0.7698102678571429,0.7660696931833958,0.73486328125,0.8117132186889648,0.7432624113475177,0.767578125,0.7204399633363886
0,3,lr,XGBoost,0.9622628348214286,0.9934058773274325,0.9625579624887536,0.9701450892857143,0.9550885867325917,0.74951171875,0.81536865234375,0.7553648068669528,0.7734375,0.7381174277726001
0,3,dm,LogisticRegression,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
0,3,dm,XGBoost,0.9461495535714286,0.9883276881003866,0.9468246314919411,0.9588448660714286,0.9351020408163265,0.62939453125,0.6702995300292969,0.6394299287410926,0.6572265625,0.6225716928769658
0,4,lr,LogisticRegression,0.7638811383928571,0.8428429584113919,0.764456196506854,0.7663225446428571,0.7625989171178675,0.7431640625,0.8172397613525391,0.7461389961389961,0.7548828125,0.7375954198473282
0,4,lr,XGBoost,0.9660993303571429,0.9944912852073202,0.9661324041811846,0.9670758928571429,0.9651907546644388,0.74462890625,0.8152427673339844,0.7467312348668281,0.7529296875,0.7406340057636888
0,4,dm,LogisticRegression,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
0,4,dm,XGBoost,0.9502650669642857,0.9899501995164521,0.950674507090972,0.9585658482142857,0.9429120351310553,0.6328125,0.6883888244628906,0.6401913875598086,0.6533203125,0.6275797373358349
0,5,lr,LogisticRegression,0.7684151785714286,0.8460007881631656,0.7682211672717119,0.767578125,0.7688652878703186,0.74072265625,0.8149738311767578,0.7450792126740279,0.7578125,0.732766761095373
