layer,concept,label,n,pca_k,pca_var_explained,frac_normal_marg,mean_skew,mean_kurt,mean_abs_skew,mean_abs_kurt,frac_normal_pca,mean_skew_pca,mean_kurt_pca
0,bald,pos,128,6,0.9548220634460449,0.56640625,-0.030718453228473663,0.28100401163101196,0.2982083857059479,0.77626633644104,0.0,0.46005377173423767,1.3297253847122192
0,bald,neg,587,10,0.9511412978172302,0.2958984375,-0.03581458702683449,0.5287524461746216,0.28313493728637695,0.7580838203430176,0.3,0.17900308966636658,1.3183934688568115
1,bald,pos,128,23,0.9519518613815308,0.7197265625,-0.02080560475587845,0.29859697818756104,0.3223147988319397,0.5525240302085876,0.5652173913043478,0.030227728188037872,0.5827699899673462
1,bald,neg,587,36,0.9505255222320557,0.4951171875,-0.01832953281700611,0.33218085765838623,0.22341114282608032,0.4389270544052124,0.5,0.01164222601801157,0.40253767371177673
2,bald,pos,128,30,0.9512993693351746,0.7451171875,-0.018847782164812088,0.18269363045692444,0.29804325103759766,0.496734082698822,0.7666666666666667,0.04554858058691025,0.15932509303092957
2,bald,neg,587,50,0.9502162337303162,0.5263671875,-0.016060031950473785,0.22309482097625732,0.2182329297065735,0.3407767117023468,0.7,0.010257153771817684,0.31650471687316895
3,bald,pos,128,38,0.9509462118148804,0.82421875,-0.016387682408094406,0.09076366573572159,0.25175389647483826,0.4175272583961487,0.7894736842105263,-0.004434859845787287,0.24334897100925446
3,bald,neg,587,64,0.9502702355384827,0.625,-0.0053405845537781715,0.15892256796360016,0.18364110589027405,0.2824849486351013,0.703125,-0.0198564063757658,0.17311632633209229
4,bald,pos,128,42,0.9510140419006348,0.8671875,0.001800407306291163,0.06144954264163971,0.2329612821340561,0.39484745264053345,0.8333333333333334,-0.04011964052915573,0.15282440185546875
4,bald,neg,587,67,0.9501957297325134,0.6689453125,0.0007460897322744131,0.11998070776462555,0.15725822746753693,0.24303960800170898,0.6119402985074627,0.0038829240947961807,0.23663188517093658
5,bald,pos,128,54,0.9504920244216919,0.814453125,0.0014600473223254085,0.15913736820220947,0.25680941343307495,0.4168054461479187,0.7962962962962963,-0.011416351422667503,0.20091305673122406
5,bald,neg,587,97,0.9501873850822449,0.6201171875,0.011751984246075153,0.16146600246429443,0.1839682161808014,0.2654097080230713,0.7731958762886598,-0.01674875058233738,0.26016905903816223
6,bald,pos,128,62,0.9504747986793518,0.7822265625,-0.0011394200846552849,0.24566064774990082,0.2758771777153015,0.47102972865104675,0.9032258064516129,0.015723813325166702,0.07992138713598251
6,bald,neg,587,121,0.9502293467521667,0.6640625,0.008826310746371746,0.1799396276473999,0.17824015021324158,0.27845388650894165,0.7851239669421488,-0.030925191938877106,0.17924003303050995
7,bald,pos,128,70,0.950320303440094,0.79296875,0.002446163445711136,0.2576149106025696,0.2719453275203705,0.48483553528785706,0.9,-0.005930469837039709,0.10701743513345718
7,bald,neg,587,147,0.950484573841095,0.595703125,0.008633285760879517,0.25221580266952515,0.19997677206993103,0.3313136100769043,0.8503401360544217,-0.01715049333870411,0.14128795266151428
8,bald,pos,128,71,0.9509252309799194,0.787109375,0.004894406534731388,0.22726526856422424,0.26073676347732544,0.4628787636756897,0.8591549295774648,0.04516644403338432,0.07369986921548843
8,bald,neg,587,141,0.9503604173660278,0.607421875,0.0012629805132746696,0.22237545251846313,0.18441638350486755,0.3099653720855713,0.7872340425531915,0.0020490428432822227,0.16721263527870178
9,bald,pos,128,78,0.9517589211463928,0.8427734375,0.0016762372106313705,0.13966567814350128,0.23490367829799652,0.40643930435180664,0.9358974358974359,0.03970620036125183,0.09336976706981659
9,bald,neg,587,164,0.9502175450325012,0.7255859375,0.00505957892164588,0.1547214388847351,0.14696037769317627,0.2502111792564392,0.8902439024390244,0.009524979628622532,0.13948209583759308
10,bald,pos,128,81,0.9502021670341492,0.8515625,-0.005288338288664818,0.129066601395607,0.22926488518714905,0.3893485963344574,0.8641975308641975,-0.01429072581231594,0.024174608290195465
10,bald,neg,587,184,0.9505088329315186,0.70703125,0.003561886725947261,0.15935496985912323,0.1497204303741455,0.2537931203842163,0.8315217391304348,-0.02417072094976902,0.19581206142902374
11,bald,pos,128,83,0.9501140117645264,0.869140625,-0.0007067152764648199,0.08878090232610703,0.23321110010147095,0.39240288734436035,0.891566265060241,-0.002077881945297122,0.007624238263815641
11,bald,neg,587,197,0.9500411152839661,0.7314453125,0.005635433830320835,0.10611671954393387,0.1462555229663849,0.23465530574321747,0.8527918781725888,-0.010188044980168343,0.16646912693977356
12,bald,pos,128,84,0.9502573609352112,0.896484375,0.0036208394449204206,0.029720086604356766,0.20923969149589539,0.34667474031448364,0.8452380952380952,-0.001610439969226718,0.0927344486117363
12,bald,neg,587,211,0.9500400424003601,0.794921875,0.006073908880352974,0.062379345297813416,0.1236886978149414,0.19994866847991943,0.8436018957345972,0.004257637076079845,0.18060345947742462
13,bald,pos,128,85,0.9501482248306274,0.9013671875,0.0020058038644492626,0.02742009237408638,0.2016211748123169,0.35464388132095337,0.8588235294117647,0.02573825605213642,0.13820645213127136
13,bald,neg,587,221,0.9500077366828918,0.767578125,0.005650974344462156,0.07285089790821075,0.13337333500385284,0.20629535615444183,0.7601809954751131,0.014728393405675888,0.23078769445419312
14,bald,pos,128,84,0.9504072666168213,0.875,-4.943925887346268e-05,0.0738135278224945,0.2152685821056366,0.3711422085762024,0.8928571428571429,0.0034905197098851204,0.15220339596271515
14,bald,neg,587,217,0.9500560760498047,0.73046875,0.010822732001543045,0.09606944024562836,0.144506573677063,0.22792060673236847,0.7142857142857143,0.011695035733282566,0.30812129378318787
15,bald,pos,128,85,0.9507260918617249,0.873046875,-0.0007458110922016203,0.0686410591006279,0.212477445602417,0.36254435777664185,0.8823529411764706,0.025200823321938515,0.1386588215827942
15,bald,neg,587,229,0.9502439498901367,0.7734375,0.008209743537008762,0.0805663913488388,0.13373327255249023,0.20564809441566467,0.7161572052401747,-0.004727186635136604,0.2604297399520874
16,bald,pos,128,87,0.9508658647537231,0.9013671875,0.001600567135028541,0.04431455209851265,0.20591706037521362,0.3436846137046814,0.8275862068965517,0.04615039378404617,0.2336752861738205
16,bald,neg,587,242,0.9502596855163574,0.7255859375,-0.0004613730125129223,0.1237303838133812,0.1456422209739685,0.22282175719738007,0.71900826446281,0.0028995221946388483,0.30778083205223083
17,bald,pos,128,88,0.9513145089149475,0.912109375,0.0007847766391932964,0.02721036598086357,0.20144152641296387,0.3372845947742462,0.8409090909090909,-0.014281818643212318,0.1741190105676651
17,bald,neg,587,248,0.9502537250518799,0.73828125,-0.000566197675652802,0.09686129540205002,0.13976973295211792,0.21237216889858246,0.7217741935483871,-0.0037885478232055902,0.2766735851764679
18,bald,pos,128,88,0.9504699110984802,0.8671875,0.0033826902508735657,0.09137919545173645,0.2253076136112213,0.3820229768753052,0.8409090909090909,0.0007777877617627382,0.32013148069381714
18,bald,neg,587,258,0.9502242803573608,0.7001953125,0.010268572717905045,0.12679311633110046,0.15351472795009613,0.23215827345848083,0.6705426356589147,0.0005618978175334632,0.3117617964744568
19,bald,pos,128,88,0.950249195098877,0.8505859375,0.0008508870378136635,0.12833669781684875,0.2333850860595703,0.41336125135421753,0.7840909090909091,-0.08047541230916977,0.3681264817714691
19,bald,neg,587,267,0.9504087567329407,0.677734375,0.0016786148771643639,0.12179113924503326,0.16051144897937775,0.24179476499557495,0.7340823970037453,-0.001502466737292707,0.34387725591659546
20,bald,pos,128,89,0.9500395655632019,0.826171875,0.004911548458039761,0.1735716462135315,0.23708827793598175,0.45438632369041443,0.6629213483146067,-0.009453034028410912,0.6242252588272095
20,bald,neg,587,280,0.9501764178276062,0.619140625,-0.0015519424341619015,0.21343493461608887,0.1745452880859375,0.3106057047843933,0.65,0.029055431485176086,0.44461867213249207
21,bald,pos,128,89,0.9514619708061218,0.828125,0.009646018967032433,0.17168495059013367,0.24018341302871704,0.4752061367034912,0.6853932584269663,-0.025146137923002243,0.7597258687019348
21,bald,neg,587,280,0.9501040577888489,0.548828125,-0.00749473599717021,0.2774520516395569,0.20326659083366394,0.3672245740890503,0.5821428571428572,-0.0009994404390454292,0.5638668537139893
22,bald,pos,128,85,0.9512127041816711,0.78125,0.018337933346629143,0.1420431137084961,0.2656385898590088,0.4629546105861664,0.5529411764705883,-0.007209436502307653,1.1653543710708618
22,bald,neg,587,276,0.9501674771308899,0.658203125,0.011091338470578194,0.19046765565872192,0.16524307429790497,0.2967604994773865,0.4963768115942029,-0.008672918193042278,0.5883884429931641
23,bald,pos,128,79,0.9508153796195984,0.8251953125,0.00733725493773818,-0.03477348014712334,0.2379719465970993,0.4003469944000244,0.6075949367088608,-0.03308474272489548,0.8584219813346863
23,bald,neg,587,243,0.9500507712364197,0.724609375,0.011589459143579006,0.0035948939621448517,0.1439250409603119,0.22254052758216858,0.448559670781893,0.011997195892035961,0.562079906463623
