concept,method,layer,label,mmd2
eyeglasses,pclarc,8,pos,0.0
eyeglasses,pclarc,8,neg,0.0
eyeglasses,pclarc,9,pos,0.0
eyeglasses,pclarc,9,neg,0.0
eyeglasses,pclarc,10,pos,0.0
eyeglasses,pclarc,10,neg,0.0
eyeglasses,pclarc,11,pos,0.0
eyeglasses,pclarc,11,neg,0.0
eyeglasses,pclarc,12,pos,0.0
eyeglasses,pclarc,12,neg,0.0
eyeglasses,pclarc,13,pos,0.0
eyeglasses,pclarc,13,neg,0.0
eyeglasses,pclarc,14,pos,1.5972915009099253e-05
eyeglasses,pclarc,14,neg,0.0
eyeglasses,pclarc,15,pos,0.0008545199341842835
eyeglasses,pclarc,15,neg,0.0
eyeglasses,pclarc,16,pos,0.0006318532174778291
eyeglasses,pclarc,16,neg,0.0
eyeglasses,pclarc,17,pos,0.003926318277415186
eyeglasses,pclarc,17,neg,0.0
eyeglasses,pclarc,18,pos,0.004503831302057559
eyeglasses,pclarc,18,neg,0.0
eyeglasses,pclarc,19,pos,0.00978555896347899
eyeglasses,pclarc,19,neg,0.0
eyeglasses,pclarc,20,pos,0.008337009575615895
eyeglasses,pclarc,20,neg,0.0007168838853264248
eyeglasses,pclarc,21,pos,0.007867016723292153
eyeglasses,pclarc,21,neg,0.0003741593031190149
eyeglasses,pclarc,22,pos,0.006049637145780773
eyeglasses,pclarc,22,neg,0.0
eyeglasses,pclarc,23,pos,0.009180834328218479
eyeglasses,pclarc,23,neg,0.0
