layer_id,k_steps,run_id,model,train_acc,train_f1,train_auc,test_acc,test_f1,test_auc
7,0,0,XGBoost,1.0,1.0,1.0,0.8359375,0.8421052631578947,0.90814208984375
7,0,1,XGBoost,1.0,1.0,1.0,0.8046875,0.8134328358208955,0.9058837890625
7,0,2,XGBoost,1.0,1.0,1.0,0.8046875,0.8076923076923077,0.89849853515625
7,0,3,XGBoost,1.0,1.0,1.0,0.76953125,0.7790262172284644,0.88116455078125
7,0,4,XGBoost,1.0,1.0,1.0,0.8125,0.8222222222222222,0.89501953125
7,1,0,XGBoost,1.0,1.0,1.0,0.6328125,0.6492537313432836,0.69573974609375
7,1,1,XGBoost,1.0,1.0,1.0,0.6328125,0.6618705035971223,0.69171142578125
7,1,2,XGBoost,1.0,1.0,1.0,0.640625,0.6666666666666666,0.7205810546875
7,1,3,XGBoost,1.0,1.0,1.0,0.67578125,0.6959706959706959,0.73870849609375
7,1,4,XGBoost,1.0,1.0,1.0,0.62890625,0.6415094339622641,0.6943359375
7,2,0,XGBoost,1.0,1.0,1.0,0.62109375,0.6446886446886447,0.67901611328125
7,2,1,XGBoost,1.0,1.0,1.0,0.6484375,0.6666666666666666,0.71197509765625
7,2,2,XGBoost,1.0,1.0,1.0,0.6328125,0.6466165413533834,0.68115234375
7,2,3,XGBoost,1.0,1.0,1.0,0.63671875,0.6666666666666666,0.6751708984375
7,2,4,XGBoost,1.0,1.0,1.0,0.6171875,0.6201550387596899,0.64642333984375
7,3,0,XGBoost,1.0,1.0,1.0,0.6015625,0.6136363636363636,0.63739013671875
7,3,1,XGBoost,1.0,1.0,1.0,0.57421875,0.6007326007326007,0.60394287109375
7,3,2,XGBoost,1.0,1.0,1.0,0.5625,0.5757575757575758,0.614990234375
7,3,3,XGBoost,1.0,1.0,1.0,0.55859375,0.549800796812749,0.6446533203125
7,3,4,XGBoost,1.0,1.0,1.0,0.625,0.6444444444444445,0.66900634765625
7,4,0,XGBoost,1.0,1.0,1.0,0.58203125,0.599250936329588,0.63751220703125
7,4,1,XGBoost,1.0,1.0,1.0,0.58203125,0.5931558935361216,0.62701416015625
7,4,2,XGBoost,1.0,1.0,1.0,0.57421875,0.6007326007326007,0.60943603515625
