layer_id,model,run_id,method,train_accuracy,train_roc_auc,train_f1,train_recall,train_precision,test_accuracy,test_roc_auc,test_f1,test_recall,test_precision
19,LogisticRegression,0,real,0.9770642201834863,0.9943606913062997,0.9772382397572079,0.9817073170731707,0.972809667673716,0.96875,0.9857177734375,0.96875,0.96875,0.96875
19,XGBoost,0,real,0.900611620795107,0.96179672302858,0.9013657056145675,0.9054878048780488,0.8972809667673716,0.90234375,0.9573974609375,0.9034749034749034,0.9140625,0.8931297709923665
19,LogisticRegression,0,random_shuffle,0.5474006116207951,0.5611065389795002,0.5360501567398119,0.5213414634146342,0.5516129032258065,0.54296875,0.5428466796875,0.5338645418326693,0.5234375,0.5447154471544715
19,LogisticRegression,0,random_unit_vector,0.5122324159021406,0.4831101301810564,0.5099846390168971,0.5060975609756098,0.5139318885448917,0.41796875,0.4072265625,0.4063745019920319,0.3984375,0.4146341463414634
19,LogisticRegression,1,real,0.9771341463414634,0.9900240798073615,0.9773071104387292,0.96996996996997,0.9847560975609756,0.984375,0.99041748046875,0.984251968503937,0.9765625,0.9920634920634921
19,XGBoost,1,real,0.8765243902439024,0.9520356269582276,0.880354505169867,0.8948948948948949,0.8662790697674418,0.8984375,0.95416259765625,0.8976377952755905,0.890625,0.9047619047619048
19,LogisticRegression,1,random_shuffle,0.5396341463414634,0.5646203479020817,0.5545722713864307,0.5645645645645646,0.5449275362318841,0.51953125,0.5264892578125,0.5393258426966292,0.5625,0.5179856115107914
19,LogisticRegression,1,random_unit_vector,0.4176829268292683,0.4081573833895815,0.4246987951807229,0.42342342342342343,0.4259818731117825,0.359375,0.3323974609375,0.3643410852713178,0.3671875,0.36153846153846153
19,LogisticRegression,2,real,0.9620253164556962,0.9897643394393422,0.9623824451410659,0.9623824451410659,0.9623824451410659,0.9765625,0.9886474609375,0.9763779527559056,0.96875,0.9841269841269841
19,XGBoost,2,real,0.9050632911392406,0.9636844371888991,0.9079754601226994,0.9278996865203761,0.8888888888888888,0.8828125,0.96075439453125,0.8854961832061069,0.90625,0.8656716417910447
19,LogisticRegression,2,random_shuffle,0.5237341772151899,0.5344877662824121,0.5229793977812995,0.5172413793103449,0.5288461538461539,0.5234375,0.57110595703125,0.5,0.4765625,0.5258620689655172
19,LogisticRegression,2,random_unit_vector,0.5474683544303798,0.5476078399951927,0.550314465408805,0.54858934169279,0.5520504731861199,0.4375,0.4207763671875,0.4461538461538462,0.453125,0.4393939393939394
19,LogisticRegression,3,real,0.9738058551617874,0.9920212765957447,0.974124809741248,0.9726443768996961,0.975609756097561,0.97265625,0.9951171875,0.9723320158102767,0.9609375,0.984
19,XGBoost,3,real,0.9121725731895224,0.9671162613981763,0.9142857142857143,0.9240121580547113,0.9047619047619048,0.88671875,0.9547119140625,0.8888888888888888,0.90625,0.8721804511278195
19,LogisticRegression,3,random_shuffle,0.5053929121725732,0.5136018237082067,0.5099236641221374,0.5075987841945289,0.5122699386503068,0.48046875,0.45916748046875,0.50187265917603,0.5234375,0.48201438848920863
19,LogisticRegression,3,random_unit_vector,0.522342064714946,0.5510258358662614,0.5201238390092879,0.5106382978723404,0.5299684542586751,0.51953125,0.50982666015625,0.4896265560165975,0.4609375,0.5221238938053098
