layer_id,model,run_id,method,train_accuracy,train_roc_auc,train_f1,train_recall,train_precision,test_accuracy,test_roc_auc,test_f1,test_recall,test_precision
18,LogisticRegression,0,real,0.9434250764525994,0.985483523986793,0.9433384379785605,0.9535603715170279,0.9333333333333333,0.921875,0.97998046875,0.9206349206349206,0.90625,0.9354838709677419
18,XGBoost,0,real,0.8577981651376146,0.9384826915342381,0.858877086494689,0.8761609907120743,0.8422619047619048,0.8359375,0.92718505859375,0.8384615384615385,0.8515625,0.8257575757575758
18,LogisticRegression,0,random_shuffle,0.4617737003058104,0.44018968694171895,0.4617737003058104,0.4674922600619195,0.4561933534743202,0.44921875,0.42767333984375,0.45136186770428016,0.453125,0.4496124031007752
18,LogisticRegression,0,random_unit_vector,0.43730886850152906,0.41053005714927093,0.44744744744744747,0.4613003095975232,0.43440233236151604,0.40625,0.39495849609375,0.45323741007194246,0.4921875,0.42
18,LogisticRegression,1,real,0.9603658536585366,0.9882134225692508,0.960960960960961,0.9696969696969697,0.9523809523809523,0.9296875,0.98260498046875,0.928,0.90625,0.9508196721311475
18,XGBoost,1,real,0.8612804878048781,0.9349228481130322,0.8627450980392157,0.8666666666666667,0.8588588588588588,0.85546875,0.92926025390625,0.8537549407114624,0.84375,0.864
18,LogisticRegression,1,random_shuffle,0.45426829268292684,0.4362056144264733,0.44753086419753085,0.4393939393939394,0.4559748427672956,0.49609375,0.48760986328125,0.4819277108433735,0.46875,0.49586776859504134
18,LogisticRegression,1,random_unit_vector,0.4969512195121951,0.49119724855921176,0.49230769230769234,0.48484848484848486,0.5,0.5546875,0.58465576171875,0.5546875,0.5546875,0.5546875
18,LogisticRegression,2,real,0.9556962025316456,0.9899529262980398,0.9533333333333334,0.9501661129568106,0.9565217391304348,0.9375,0.97662353515625,0.9365079365079365,0.921875,0.9516129032258065
18,XGBoost,2,real,0.8607594936708861,0.9383424837650932,0.8589743589743589,0.8903654485049833,0.8297213622291022,0.83984375,0.91998291015625,0.8416988416988417,0.8515625,0.8320610687022901
18,LogisticRegression,2,random_shuffle,0.5237341772151899,0.5526994610111311,0.5304212168486739,0.5647840531561462,0.5,0.55078125,0.5736083984375,0.5756457564575646,0.609375,0.5454545454545454
18,LogisticRegression,2,random_unit_vector,0.5332278481012658,0.5296845359376098,0.5171849427168577,0.5249169435215947,0.5096774193548387,0.484375,0.48577880859375,0.4358974358974359,0.3984375,0.4811320754716981
18,LogisticRegression,3,real,0.9429892141756548,0.9837186274136421,0.9419152276295133,0.974025974025974,0.9118541033434651,0.94140625,0.977294921875,0.9407114624505929,0.9296875,0.952
18,XGBoost,3,real,0.8628659476117103,0.9358171154358836,0.8615863141524106,0.8993506493506493,0.826865671641791,0.8359375,0.92120361328125,0.8409090909090909,0.8671875,0.8161764705882353
18,LogisticRegression,3,random_shuffle,0.4776579352850539,0.4790151197775831,0.48244274809160304,0.512987012987013,0.4553314121037464,0.51171875,0.530029296875,0.50199203187251,0.4921875,0.5121951219512195
18,LogisticRegression,3,random_unit_vector,0.49922958397534667,0.4974578207716038,0.4628099173553719,0.45454545454545453,0.4713804713804714,0.484375,0.45068359375,0.484375,0.484375,0.484375
18,LogisticRegression,4,real,0.9499241274658573,0.9870483038348082,0.9489953632148377,0.959375,0.9388379204892966,0.9375,0.98065185546875,0.9365079365079365,0.921875,0.9516129032258065
18,XGBoost,4,real,0.8573596358118362,0.9352230825958702,0.8562691131498471,0.875,0.8383233532934131,0.84765625,0.93414306640625,0.8528301886792453,0.8828125,0.8248175182481752
18,LogisticRegression,4,random_shuffle,0.496206373292868,0.46410398230088495,0.5029940119760479,0.525,0.4827586206896552,0.48828125,0.4649658203125,0.48221343873517786,0.4765625,0.488
18,LogisticRegression,4,random_unit_vector,0.511380880121396,0.5148137905604719,0.5076452599388379,0.51875,0.49700598802395207,0.51953125,0.512939453125,0.5214007782101168,0.5234375,0.5193798449612403
18,LogisticRegression,5,real,0.9497716894977168,0.9873030583873958,0.9491525423728814,0.9476923076923077,0.9506172839506173,0.9296875,0.97711181640625,0.9274193548387096,0.8984375,0.9583333333333334
18,XGBoost,5,real,0.8584474885844748,0.9345505097312327,0.858877086494689,0.8707692307692307,0.8473053892215568,0.8515625,0.9293212890625,0.8560606060606061,0.8828125,0.8308823529411765
18,LogisticRegression,5,random_shuffle,0.5342465753424658,0.5544949026876738,0.5349544072948328,0.5415384615384615,0.5285285285285285,0.484375,0.48681640625,0.4961832061068702,0.5078125,0.48507462686567165
