layer_id,k_steps,run_id,model,train_acc,train_f1,train_auc,test_acc,test_f1,test_auc
17,0,0,XGBoost,1.0,1.0,1.0,0.8046875,0.8226950354609929,0.92230224609375
17,0,1,XGBoost,1.0,1.0,1.0,0.859375,0.8666666666666667,0.93377685546875
17,0,2,XGBoost,1.0,1.0,1.0,0.86328125,0.8745519713261649,0.9395751953125
17,0,3,XGBoost,1.0,1.0,1.0,0.8203125,0.8357142857142857,0.93109130859375
17,0,4,XGBoost,1.0,1.0,1.0,0.80859375,0.8280701754385965,0.9283447265625
17,1,0,XGBoost,1.0,1.0,1.0,0.6015625,0.6408450704225352,0.639404296875
17,1,1,XGBoost,1.0,1.0,1.0,0.62109375,0.6596491228070176,0.65423583984375
17,1,2,XGBoost,1.0,1.0,1.0,0.58984375,0.6289752650176679,0.639404296875
17,1,3,XGBoost,1.0,1.0,1.0,0.58984375,0.6209386281588448,0.6405029296875
17,1,4,XGBoost,1.0,1.0,1.0,0.58203125,0.6164874551971327,0.63916015625
17,2,0,XGBoost,1.0,1.0,1.0,0.58203125,0.6137184115523465,0.5997314453125
17,2,1,XGBoost,1.0,1.0,1.0,0.59765625,0.643598615916955,0.64959716796875
17,2,2,XGBoost,1.0,1.0,1.0,0.59765625,0.6308243727598566,0.59613037109375
17,2,3,XGBoost,1.0,1.0,1.0,0.60546875,0.6327272727272727,0.636962890625
17,2,4,XGBoost,1.0,1.0,1.0,0.5859375,0.624113475177305,0.625732421875
17,3,0,XGBoost,1.0,1.0,1.0,0.57421875,0.6228373702422145,0.610595703125
17,3,1,XGBoost,1.0,1.0,1.0,0.62109375,0.6643598615916955,0.66253662109375
17,3,2,XGBoost,1.0,1.0,1.0,0.5859375,0.6159420289855072,0.62603759765625
17,3,3,XGBoost,1.0,1.0,1.0,0.5703125,0.6099290780141844,0.633056640625
17,3,4,XGBoost,1.0,1.0,1.0,0.609375,0.6527777777777778,0.64306640625
17,4,0,XGBoost,1.0,1.0,1.0,0.625,0.6496350364963503,0.6407470703125
17,4,1,XGBoost,1.0,1.0,1.0,0.5859375,0.624113475177305,0.62255859375
17,4,2,XGBoost,1.0,1.0,1.0,0.59765625,0.6254545454545455,0.62493896484375
17,4,3,XGBoost,1.0,1.0,1.0,0.609375,0.647887323943662,0.65728759765625
17,4,4,XGBoost,1.0,1.0,1.0,0.5625,0.5942028985507246,0.5811767578125
17,5,0,XGBoost,1.0,1.0,1.0,0.62109375,0.6548042704626335,0.63525390625
17,5,1,XGBoost,1.0,1.0,1.0,0.625,0.6643356643356644,0.6707763671875
17,5,2,XGBoost,1.0,1.0,1.0,0.578125,0.6142857142857143,0.6092529296875
17,5,3,XGBoost,1.0,1.0,1.0,0.5859375,0.6187050359712231,0.66021728515625
17,5,4,XGBoost,1.0,1.0,1.0,0.59765625,0.6460481099656358,0.6646728515625
17,6,0,XGBoost,1.0,1.0,1.0,0.57421875,0.6120996441281139,0.63006591796875
17,6,1,XGBoost,1.0,1.0,1.0,0.64453125,0.6738351254480287,0.6729736328125
17,6,2,XGBoost,1.0,1.0,1.0,0.6015625,0.6506849315068494,0.644287109375
17,6,3,XGBoost,1.0,1.0,1.0,0.60546875,0.6405693950177936,0.62115478515625
17,6,4,XGBoost,1.0,1.0,1.0,0.57421875,0.6120996441281139,0.6163330078125
17,7,0,XGBoost,1.0,1.0,1.0,0.609375,0.6402877697841727,0.6407470703125
17,7,1,XGBoost,1.0,1.0,1.0,0.60546875,0.63003663003663,0.642333984375
17,7,2,XGBoost,1.0,1.0,1.0,0.609375,0.6296296296296297,0.64788818359375
17,7,3,XGBoost,1.0,1.0,1.0,0.62109375,0.6472727272727272,0.69268798828125
17,7,4,XGBoost,1.0,1.0,1.0,0.58203125,0.629757785467128,0.63372802734375
17,8,0,XGBoost,1.0,1.0,1.0,0.578125,0.6142857142857143,0.6170654296875
17,8,1,XGBoost,1.0,1.0,1.0,0.609375,0.6323529411764706,0.659423828125
17,8,2,XGBoost,1.0,1.0,1.0,0.59375,0.6338028169014085,0.66796875
17,8,3,XGBoost,1.0,1.0,1.0,0.546875,0.5639097744360902,0.58245849609375
17,8,4,XGBoost,1.0,1.0,1.0,0.60546875,0.6353790613718412,0.67657470703125
17,9,0,XGBoost,1.0,1.0,1.0,0.65234375,0.6855123674911661,0.66595458984375
17,9,1,XGBoost,1.0,1.0,1.0,0.57421875,0.5917602996254682,0.606689453125
17,9,2,XGBoost,1.0,1.0,1.0,0.62890625,0.6735395189003437,0.66156005859375
