concept,method,layer,label,mmd2
eyeglasses,pclarc,8,pos,0.0
eyeglasses,pclarc,8,neg,0.0
eyeglasses,pclarc,9,pos,0.0
eyeglasses,pclarc,9,neg,0.0
eyeglasses,pclarc,10,pos,0.0
eyeglasses,pclarc,10,neg,0.0
eyeglasses,pclarc,11,pos,0.0
eyeglasses,pclarc,11,neg,0.0
eyeglasses,pclarc,12,pos,0.0
eyeglasses,pclarc,12,neg,0.0
eyeglasses,pclarc,13,pos,0.0
eyeglasses,pclarc,13,neg,0.0
eyeglasses,pclarc,14,pos,1.2189930650885472e-05
eyeglasses,pclarc,14,neg,0.0
eyeglasses,pclarc,15,pos,0.0008569463680987432
eyeglasses,pclarc,15,neg,0.0
eyeglasses,pclarc,16,pos,0.0006286410585458757
eyeglasses,pclarc,16,neg,0.0
eyeglasses,pclarc,17,pos,0.003917152273587687
eyeglasses,pclarc,17,neg,0.0
eyeglasses,pclarc,18,pos,0.004489343875335505
eyeglasses,pclarc,18,neg,0.0
eyeglasses,pclarc,19,pos,0.009776390000056923
eyeglasses,pclarc,19,neg,0.0
eyeglasses,pclarc,20,pos,0.008318092327182613
eyeglasses,pclarc,20,neg,0.0007223624010597174
eyeglasses,pclarc,21,pos,0.007858177864868088
eyeglasses,pclarc,21,neg,0.0003720172680741207
eyeglasses,pclarc,22,pos,0.00605450759552939
eyeglasses,pclarc,22,neg,0.0
eyeglasses,pclarc,23,pos,0.00917928927887024
eyeglasses,pclarc,23,neg,0.0
